31.184347/121.441392,1410.0,1
30.957633/121.343012,18145.0,14
30.963144/121.39936,37869.0,30
30.892415/121.023553,27174.0,21
31.247886/121.391323,0.0,0
31.021462/121.321255,9956.0,9
31.224718/121.344451,19662.0,14
31.255905/121.430231,32162.0,23
30.956183/121.908274,2613.0,2
31.250332/121.594504,40766.0,34
31.198953/121.516066,1430.0,3
31.08705/121.503604,19947.0,17
31.203225/121.399229,0.0,0
31.212833/121.423845,0.0,0
31.42225/121.355698,1435.0,1
30.918205/121.509992,14948.0,11
31.378141/121.503801,2665.0,2
31.237789/121.461058,2833.0,5
31.038201/121.216468,85990.0,70
31.285418/121.47179,1439.0,1
30.999098/121.447826,56845.0,42
31.249162/121.487899,29230.0,32
31.186465/121.429887,30667.0,22
31.456615/121.221022,8400.0,6
30.873326/121.284335,13760.0,12
31.08906/121.722984,7156.0,6
31.246946/121.513919,0.0,0
31.044667/121.46191,41914.0,30
31.350476/121.519951,0.0,0
31.307911/121.518921,44307.0,31
31.170097/121.608906,8353.0,6
31.271455/121.513192,1439.0,1
30.875057/121.324697,0.0,0
31.247569/121.41575,5519.0,4
31.235847/121.536101,12578.0,9
31.345443/121.596458,23587.0,17
31.157536/121.203337,50370.0,42
31.221876/121.687381,8415.0,6
31.240478/121.526884,55595.0,44
31.333315/121.188402,12700.0,10
31.166058/121.403691,13919.0,10
30.73407/121.350673,44750.0,34
31.205618/121.420639,0.0,0
31.115773/120.907942,0.0,0
30.877822/121.548349,8535.0,6
31.246573/121.495702,0.0,0
31.16346/121.405127,50399.0,43
31.460409/121.401649,33718.0,27
31.273966/121.429374,15458.0,12
31.191818/121.538713,23666.0,17
31.132833/121.17281,11235.0,8
31.317584/121.626266,2708.0,2
31.10366/121.420217,50300.0,40
31.427978/121.433301,16894.0,12
31.355737/121.403678,76440.0,60
30.992078/121.31207,1373.0,1
31.456258/121.413525,9726.0,7
31.130862/121.091425,47240.0,35
31.139656/121.378972,0.0,0
31.284953/121.489071,40738.0,29
31.19927/121.6228,0.0,0
31.29856/121.495449,0.0,0
31.409644/121.303936,0.0,0
31.209025/121.616514,86984.0,69
31.24981/121.497427,0.0,0
31.296656/121.483976,25657.0,23
30.97167/121.185692,0.0,0
30.975316/121.349759,12859.0,9
31.082701/121.448694,34892.0,27
31.206458/121.562768,0.0,0
31.232857/121.475333,37585.0,28
31.256654/121.599709,0.0,0
31.185065/121.503655,4226.0,3
31.048845/121.231719,22736.0,18
31.19206/121.438501,9757.0,7
31.216528/121.439617,1365.0,1
31.037985/121.752781,6999.0,5
31.236009/121.478941,52131.0,37
31.17023/121.337413,116115.0,96
31.04139/121.741651,16312.0,13
31.18158/121.295188,0.0,0
31.142588/121.756503,0.0,0
31.236842/121.433815,0.0,0
30.940176/121.086747,0.0,0
31.224551/121.547983,10073.0,8
31.217323/121.753758,9834.0,9
31.324464/121.387532,53696.0,41
31.251894/121.464026,25697.0,19
31.234796/121.533464,22456.0,17
31.376717/121.539395,5699.0,4
31.268538/121.49713,2863.0,2
31.249796/121.582523,1430.0,1
31.224027/121.423777,0.0,0
30.900276/121.251645,0.0,0
30.866941/121.595653,0.0,0
31.299183/121.628904,3982.0,3
31.313065/121.417971,43587.0,34
31.27431/121.448589,14994.0,17
31.261062/121.500145,1432.0,2
31.288102/121.122551,1439.0,1
31.220809/121.305363,35338.0,27
31.209704/121.368486,0.0,0
31.29711/121.519384,1412.0,1
31.240587/121.402322,4065.0,3
31.225878/121.466952,0.0,0
31.195613/121.40425,11191.0,10
31.142218/121.413767,9828.0,7
31.17625/121.418829,0.0,0
31.230405/121.534439,0.0,0
31.099642/121.449578,49872.0,39
31.041762/120.928733,6854.0,5
31.177291/121.405153,0.0,0
31.038725/121.464203,22226.0,17
31.205115/121.492127,0.0,0
31.271321/121.521621,0.0,0
31.054254/121.087156,2652.0,2
31.234499/121.463079,8504.0,7
31.239149/121.488022,0.0,0
31.298752/121.491919,31870.0,24
31.25003/121.406481,0.0,0
31.497375/121.324955,8270.0,7
31.146551/121.235394,2764.0,3
30.852916/121.364997,1437.0,1
31.243446/121.675041,12713.0,12
31.107362/121.020176,8171.0,7
31.246106/121.443663,40584.0,34
31.207679/121.489691,28055.0,20
31.365012/121.504701,11480.0,8
31.204763/121.526768,4242.0,3
31.273024/121.42572,16692.0,13
30.935837/121.561311,17057.0,12
31.121152/121.141999,40673.0,31
31.09599/121.238111,2840.0,3
31.21882/121.436387,4280.0,3
30.900013/121.049649,15564.0,11
31.188068/121.699562,0.0,0
31.225266/121.444323,31239.0,48
31.415037/121.260851,0.0,0
31.397749/121.267217,12362.0,10
31.312192/121.456456,29489.0,21
31.253467/121.447489,0.0,0
31.060813/121.789941,0.0,0
31.154875/121.131226,33641.0,26
30.774911/121.259927,18401.0,13
31.201009/121.610969,3782.0,3
31.195139/121.385973,20687.0,16
31.192457/121.443575,0.0,0
30.978325/121.70767,0.0,0
31.300163/121.504294,0.0,0
31.270571/121.476897,0.0,0
31.182198/121.390214,9306.0,8
31.049556/121.600672,14537.0,11
31.253394/121.389864,20720.0,17
31.432457/121.359456,0.0,0
31.207348/121.70185,15212.0,12
31.219239/121.418564,1434.0,2
31.246782/121.528695,0.0,0
31.220745/121.438858,0.0,0
31.291773/121.203129,6995.0,5
31.236728/121.42407,11295.0,9
31.208187/121.479316,0.0,0
31.152182/121.564661,18130.0,15
30.89659/121.281933,0.0,0
31.289528/121.412608,0.0,0
31.025227/121.44251,39903.0,32
31.018662/121.420209,0.0,0
31.190389/121.457678,22376.0,16
31.143835/120.935676,0.0,0
31.248587/121.277434,54567.0,40
31.258551/121.584794,1433.0,1
30.824298/121.363989,18308.0,16
30.939279/121.074396,1390.0,1
30.934254/121.279662,39357.0,30
31.179594/121.55951,0.0,0
31.268106/121.49354,0.0,3
30.966714/121.771375,2764.0,3
31.186628/121.372116,6934.0,5
31.206668/121.449678,6793.0,5
30.810888/121.234763,2839.0,2
31.155379/121.765101,0.0,0
30.902744/121.173518,0.0,0
31.17446/121.798555,0.0,0
31.203252/121.441646,0.0,0
31.207205/121.482691,14191.0,10
31.156454/121.815297,30876.0,23
31.331055/121.52962,1438.0,1
31.070433/121.467199,7082.0,5
31.244229/121.475231,8467.0,7
31.137509/121.40768,123877.0,101
31.065995/121.314532,9756.0,9
31.281567/121.557955,7014.0,5
31.300119/121.532041,22391.0,17
31.168519/121.804669,18116.0,15
30.87706/121.856429,18394.0,13
31.05815/120.970188,10598.0,8
31.00953/121.052076,1405.0,1
30.844718/121.256228,8509.0,9
30.983966/121.737727,5747.0,6
31.080824/121.390896,27511.0,22
31.261499/121.457989,9964.0,7
31.301024/121.509195,0.0,0
31.23271/121.455345,20874.0,17
30.910239/121.419143,6898.0,5
31.287632/121.458734,22385.0,17
31.132785/121.413457,90931.0,75
31.116903/121.595022,35378.0,26
31.30379/121.455146,0.0,0
31.288667/121.527375,40392.0,29
31.273019/121.307617,71850.0,57
31.265918/121.428644,0.0,0
31.113159/121.06421,7031.0,5
31.246038/121.531441,0.0,0
30.898595/121.030128,5470.0,4
31.273183/121.488391,54152.0,41
31.23672/121.488128,0.0,0
31.10346/121.419988,0.0,0
30.976672/121.459345,0.0,0
31.252686/121.491508,0.0,0
31.307268/121.521916,112367.0,85
31.258677/121.392956,8187.0,6
31.22978/121.540987,10058.0,11
31.146311/121.399951,127141.0,100
31.039158/121.239632,15635.0,11
31.25879/121.627202,0.0,0
31.216154/121.557057,0.0,0
30.995671/121.095344,0.0,0
31.154144/121.118793,0.0,0
31.198673/121.479377,0.0,0
31.162714/121.772242,12669.0,10
31.267826/121.521146,4063.0,3
31.316557/121.516135,4295.0,4
31.310089/121.640057,1422.0,1
31.217261/121.391532,5523.0,4
31.26484/121.498029,9782.0,8
31.112344/121.480257,15596.0,13
31.410799/121.48934,0.0,0
31.148785/121.115114,22730.0,16
31.387389/121.431922,13784.0,12
31.162282/121.426688,17043.0,13
31.106759/121.398956,52441.0,38
31.234885/121.529933,0.0,0
30.901978/121.452316,3981.0,3
31.045319/121.846169,1428.0,1
31.245524/121.496417,0.0,0
31.295646/121.498045,5726.0,4
31.143681/121.353698,2776.0,2
31.190828/121.420662,0.0,0
31.168501/121.402505,2861.0,2
30.872205/121.530081,21217.0,15
31.2106/121.411728,0.0,0
31.333313/121.333805,5366.0,4
31.263678/121.468663,15501.0,11
31.327488/121.437837,37305.0,29
31.193686/121.423417,0.0,0
30.900531/121.399787,5356.0,5
31.344675/121.443963,63479.0,53
31.294157/121.432501,0.0,0
31.337262/121.473928,33720.0,26
31.264503/121.715846,9659.0,8
30.977355/121.74808,10019.0,7
31.20188/121.479048,0.0,0
31.202912/121.712449,16822.0,12
31.278028/121.583992,0.0,0
31.314684/121.522729,1397.0,1
31.238199/121.484427,7076.0,5
30.974035/121.554233,20005.0,15
31.214958/121.527054,35234.0,25
30.945561/121.150834,7084.0,5
31.143754/121.434357,16635.0,12
31.241762/121.50497,30653.0,25
31.08532/121.237002,5492.0,4
31.119806/121.071074,9977.0,7
31.052639/121.761696,36802.0,28
31.284348/121.564303,0.0,0
31.214193/121.376945,5380.0,4
31.299322/121.445001,0.0,0
30.894639/121.21016,18432.0,14
31.204179/121.538588,35585.0,29
31.246176/121.494923,0.0,0
31.263107/121.456686,0.0,0
31.068209/121.373076,14138.0,11
30.916416/121.467057,0.0,0
31.233431/121.471698,0.0,0
31.149628/121.43924,28264.0,21
31.214561/121.298904,84403.0,66
31.21138/121.728982,0.0,0
31.128227/121.45441,30632.0,22
31.17247/121.404203,82278.0,63
31.099126/121.813976,9894.0,10
31.242967/121.51048,3950.0,3
31.075694/121.505294,0.0,0
31.276349/121.39526,32053.0,24
31.315405/121.532388,1425.0,1
31.235501/121.402602,0.0,0
31.044065/121.537499,4092.0,3
31.117844/121.402074,80909.0,63
30.880213/121.907656,1261.0,1
30.715526/121.351073,36397.0,28
31.248325/121.158122,8216.0,7
31.279562/121.467095,12870.0,9
30.920156/121.488943,27860.0,22
31.261655/121.474716,0.0,0
30.889117/121.317123,4107.0,3
31.17148/121.411456,0.0,0
31.248296/121.492384,0.0,0
31.236743/121.36086,0.0,0
31.190941/121.420437,0.0,0
31.140855/121.360032,49942.0,40
31.255025/121.199554,49487.0,36
31.219133/121.524846,13605.0,11
31.054051/121.741771,0.0,0
31.248836/121.463246,1414.0,1
31.208476/121.466867,0.0,0
31.188332/121.405187,0.0,0
31.193771/121.546521,5721.0,4
30.879413/121.704723,0.0,0
31.196135/121.558528,30563.0,22
30.89577/121.697282,2738.0,3
31.301233/121.167693,0.0,0
30.781759/121.168333,0.0,0
31.23537/121.522706,5310.0,4
31.20907/121.436851,0.0,0
31.307215/121.486962,31783.0,29
31.384742/121.277311,2795.0,3
31.280452/121.480426,32272.0,25
31.303478/121.55082,11055.0,10
31.1634/121.396418,4240.0,4
31.209872/121.409627,1399.0,1
31.184888/121.510295,50511.0,39
31.120753/121.381579,22255.0,17
31.150865/121.336324,0.0,0
30.770905/121.407376,0.0,0
31.292008/121.36941,24003.0,19
31.244865/121.549508,0.0,0
31.259098/121.373134,5658.0,4
31.235072/121.518805,30918.0,25
30.802409/121.205114,28719.0,23
31.283777/121.379482,0.0,0
31.178088/121.413515,28486.0,22
31.301749/121.457406,54676.0,41
31.259353/121.427018,0.0,0
31.035335/121.117893,16886.0,13
30.841016/121.482504,4299.0,3
31.238579/121.49665,0.0,0
31.136777/121.546762,29102.0,22
31.27795/121.538718,21260.0,15
31.247955/121.495452,4201.0,3
31.15562/121.130864,0.0,0
31.264003/121.489834,1425.0,1
31.339114/121.321261,28432.0,23
31.241084/121.467265,0.0,0
31.241577/121.485099,0.0,0
31.06623/121.321933,85311.0,64
30.99055/121.126163,2565.0,2
31.200783/121.446011,31086.0,24
31.276317/121.524794,34978.0,28
31.243013/121.416207,40423.0,30
31.233452/121.480931,5429.0,5
31.182032/121.388195,0.0,0
31.247703/121.536476,0.0,0
31.038898/121.23984,1419.0,1
31.238517/121.429012,2563.0,2
31.234737/121.513936,0.0,0
31.414397/121.481621,64043.0,49
31.280339/121.402957,9640.0,7
31.236104/121.375177,22229.0,17
31.209182/121.752433,11120.0,10
31.216651/121.604749,0.0,0
31.12408/121.716759,29686.0,23
