1817,31.237789,121.461058,5387,5,0,0,4240,3,11121,8,0,0,0,0,0,0,1438,1,0,0,0,0,0,0,0,0,0,0,1435,1,0,0,0,0,2768,2,4260,3,0,0,0,0,2831,2,0,0,0,0,0,0,0,0,0,0,0,0,2830,2,1439,1,1428,1,0,0
444,31.038201,121.216468,84518,69,69530,60,85687,66,63870,51,79532,67,37286,30,50587,42,47370,36,60545,55,38778,33,45828,39,74842,60,69410,55,89951,68,47466,36,45087,37,59978,48,57031,46,54498,41,43396,36,36074,31,55737,42,36325,26,37353,30,42821,34,27662,25,47480,40,35436,29,51862,42,48959,36,44716,33
2453,31.285418,121.47179,0,0,0,0,0,0,1424,1,0,0,0,0,4278,3,0,0,0,0,1420,1,0,0,1422,1,0,0,0,0,0,0,0,0,1324,1,1425,1,0,0,0,0,0,0,1264,1,0,0,1409,1,0,0,2863,2,4252,4,0,0,0,0,0,0,0,0
345,30.999098,121.447826,58988,48,68576,53,86294,69,64356,51,61681,49,57781,48,62113,50,87507,70,90370,74,116299,92,85198,68,83437,69,81765,71,70921,59,69706,59,74574,55,93052,73,68947,57,99420,77,70694,58,63588,53,78321,63,72319,62,28828,21,67093,49,50711,40,68601,54,45500,36,50494,38,48430,45,80504,68
2052,31.249162,121.487899,22299,19,11229,8,15448,11,18427,14,21206,16,18470,13,12628,13,11340,9,25348,21,8492,6,16881,12,12638,10,28675,23,24080,17,9991,10,14222,12,18314,14,9979,7,12680,11,9663,7,11293,9,4273,5,37046,30,8066,11,25103,19,7074,6,2716,2,15521,11,8490,6,16764,15,15348,15
1054,31.186465,121.429887,58766,49,74392,55,33291,27,40903,31,22217,16,14227,13,37811,27,34630,26,61395,46,25534,18,30259,22,19677,17,19197,14,42963,33,26203,19,32304,23,20799,15,27757,20,13697,10,12618,9,38145,28,35773,26,47546,36,26305,19,26837,21,20913,16,7975,6,26525,19,43088,32,32096,23,32471,25
2980,31.456615,121.221022,14845,12,0,0,2859,2,6621,6,10962,8,2827,2,13387,13,0,0,0,0,10943,9,16105,12,5284,4,0,0,8106,6,14805,12,1371,1,0,0,11261,9,9443,7,0,0,0,0,2740,2,2827,2,5500,5,1435,1,5495,4,8223,6,2635,2,2692,2,0,0,1403,1
126,30.873326,121.284335,18377,18,33700,33,5568,4,5615,4,17516,13,4088,3,8480,6,16523,13,15186,11,38937,29,22700,18,10913,8,5438,4,8377,6,5622,4,12164,10,11083,8,25035,21,13780,11,25531,19,21044,17,8312,6,17058,16,31097,30,9752,8,8193,6,4163,3,10971,8,8228,6,26881,20,9650,8
600,31.08906,121.722984,30988,25,45945,34,25260,19,18290,17,45199,34,37989,28,21315,16,18555,14,12839,9,11202,9,28104,22,19767,17,23951,17,18234,16,35170,27,30953,23,32113,24,38186,28,30706,24,5697,5,10917,9,18115,15,5689,5,21101,15,23331,18,25386,18,19101,15,25908,19,9668,7,10887,8,11066,10
2021,31.246946,121.513919,11436,12,14245,11,11345,10,9981,7,0,0,0,0,4288,5,5704,4,14308,10,8429,8,8539,6,0,0,0,0,0,0,15651,14,2860,4,17171,13,12787,9,0,0,0,0,4284,7,21460,16,0,0,1437,1,0,0,0,0,0,0,0,0,0,0,1261,1,1433,1
477,31.044667,121.46191,50191,38,66841,54,73962,59,37367,28,35007,29,68835,51,46749,40,48770,37,50569,41,38907,30,43833,34,22462,17,20597,15,37346,44,49366,39,35648,29,42758,39,78784,64,38205,36,55097,46,60036,45,53247,44,39125,32,74016,59,37735,28,63280,52,62066,47,34873,26,27700,21,36764,31,36385,27
2799,31.350476,121.519951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2699,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,2,0,0,0,0,0,0,0,0,5653,4,0,0,0,0
2635,31.307911,121.518921,16342,12,29613,21,5712,4,45823,38,61578,49,62992,50,22927,16,0,0,9944,8,12668,11,14034,10,11494,12,38585,28,22982,19,5692,4,9986,9,30134,27,21547,18,47183,43,34421,26,18610,16,7071,6,38421,27,19949,17,20003,16,20062,15,41622,36,21533,16,45384,34,38288,28,11320,8
930,31.170097,121.608906,8124,7,7113,6,14013,10,4306,5,0,1,7144,5,0,0,0,0,8529,6,8425,6,4270,3,9916,8,4226,4,9398,7,9623,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2761,2,8155,7,1439,2,6601,5,14334,11,15105,11,9930,7
2330,31.271455,121.513192,0,0,0,0,5705,4,4307,3,1427,1,1418,1,3944,3,0,0,1405,1,0,0,0,0,0,0,0,0,1426,1,2680,2,4291,3,0,0,2851,2,4169,4,0,0,2855,2,1429,1,0,0,5588,4,2772,2,2817,2,4249,3,4282,3,8228,6,2866,2,0,0
132,30.875057,121.324697,36853,26,16993,13,32742,27,24302,17,24242,21,35709,31,15694,12,25537,21,44350,37,7104,5,21048,15,29940,23,41292,31,24258,20,24349,17,17061,12,9906,8,4205,3,5618,4,0,0,2767,2,0,0,4287,3,2863,2,2687,2,2830,2,2850,3,1439,2,0,0,12653,10,6891,5
2028,31.247569,121.41575,3920,5,5493,4,1318,1,1425,1,2689,2,7003,5,12378,9,6953,5,0,0,2864,3,1395,4,5609,4,1260,1,2749,3,4289,4,12681,11,5608,6,0,0,12705,9,5487,4,4302,3,0,0,9911,7,11371,10,5455,4,8532,7,5387,5,2852,4,8397,6,1418,1,4229,3
1771,31.235847,121.536101,19476,14,8189,6,26856,20,9716,7,12533,10,5526,6,6912,5,12696,10,9792,8,14004,11,14291,13,7104,7,23946,19,14136,12,13804,10,8478,6,12446,11,23899,22,19244,15,27507,21,11216,8,15360,12,5687,4,14054,10,17125,14,8499,7,19707,14,4267,3,15492,12,19339,16,12766,9
2789,31.345443,121.596458,14778,12,27275,20,20245,15,24254,21,23945,18,31078,23,30106,24,32287,26,14002,10,16649,13,13902,11,6629,5,6828,5,18037,14,11944,10,17074,13,17559,13,10748,11,21108,16,26428,20,9412,10,27397,20,32696,25,31751,25,10875,8,10972,8,8117,6,25671,19,24333,19,23099,17,25030,19
855,31.157536,121.203337,50558,42,59803,47,67083,51,75175,57,36420,31,71404,56,69280,55,55897,45,90598,72,59969,48,85854,68,109440,94,98786,85,101823,73,74667,57,84898,67,77181,60,72979,54,102088,77,116908,89,51576,43,55034,41,46080,33,51400,43,32350,30,54717,43,55941,42,54962,45,35261,25,54647,43,55522,44
1515,31.221876,121.687381,10769,9,7895,7,15504,12,9584,7,12335,9,2573,2,5706,4,6563,5,20364,15,12589,9,4073,3,8321,9,6730,5,2828,2,2686,2,9538,8,1438,1,5663,4,9693,8,2797,4,5649,4,2876,2,2858,2,4247,3,17116,16,2849,3,4047,3,11305,9,11308,9,7137,6,4204,3
1876,31.240478,121.526884,99283,79,90047,74,54811,43,58863,46,38036,31,56777,44,67287,55,104989,81,65357,50,40603,33,63494,49,29847,24,33834,26,80058,66,63760,50,60546,45,78397,64,65648,49,70832,56,61522,46,101048,80,75658,63,75800,61,53261,43,98923,78,35287,27,60338,43,74131,58,86853,69,67101,51,73748,59
2748,31.333315,121.188402,13462,11,15201,11,23499,20,26819,22,14047,10,5546,4,8472,6,9940,8,28176,21,14038,11,12764,9,19716,16,6842,5,18288,13,23927,18,15632,12,17025,13,21188,16,5554,5,7173,5,11035,8,12855,10,5739,5,1439,1,8175,6,2870,2,2873,2,2877,3,5397,4,2850,4,8354,6
903,31.166058,121.403691,8525,8,11347,9,1439,2,9950,7,1438,1,4252,3,15560,12,5497,5,11453,8,8299,6,6934,5,4311,3,0,1,8596,7,9899,7,8519,6,14075,10,21454,15,4240,3,2848,2,13925,11,7126,6,4269,3,2877,2,14024,10,1429,2,1418,2,16474,13,13754,10,9990,10,4184,5
16,30.73407,121.350673,54599,45,13916,11,37742,30,31830,27,35132,27,39299,33,28867,21,37772,31,29267,25,20513,16,12671,9,24484,21,33716,26,27719,21,29541,22,31089,24,39619,30,26283,19,43355,33,44049,34,33340,25,47451,40,35878,26,19547,14,42113,30,24854,21,19459,16,29318,21,22491,16,38328,30,17890,17
1275,31.205618,121.420639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,31.115773,120.907942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2777,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439,1,0,0,0,0,0,0
136,30.877822,121.548349,18301,13,5738,4,5682,4,2832,2,6791,6,19502,15,4301,6,5723,4,12765,15,15523,13,4293,4,12871,12,8342,9,8546,9,18523,13,18616,15,5560,5,7094,5,17097,12,8383,7,4298,3,14082,11,11291,8,14163,12,5377,5,1264,1,0,0,15745,12,12771,9,12733,10,16855,13
2014,31.246573,121.495702,0,0,0,0,0,0,5747,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,2,2862,2,0,0,0,0,0,0,0,0,0,0,9728,7,4230,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12729,11
892,31.16346,121.405127,46213,34,60686,48,90186,68,90562,71,74901,64,51447,44,66788,53,46242,37,80398,66,99403,83,65646,49,74580,60,106810,86,94879,80,92976,70,77149,59,71846,63,64345,54,71626,56,78407,59,77242,61,51803,39,54987,44,67789,54,80073,64,87726,94,77389,57,84801,70,107408,82,66241,56,44964,37
2983,31.460409,121.401649,40602,34,40862,34,26671,22,39677,35,45614,35,35526,33,27011,21,37001,30,42449,35,76527,60,41277,35,31290,25,46829,34,38292,32,19712,16,32152,24,36354,29,38376,30,26375,21,59732,46,29500,25,48048,39,38231,31,42392,35,28360,23,56102,44,50485,41,27752,22,25436,22,46503,36,25158,18
2353,31.273966,121.429374,12862,12,5704,4,5710,4,1420,1,19968,17,9988,7,12877,14,26948,22,15422,12,6969,5,24298,17,5601,5,12887,10,18362,17,2878,2,7171,6,7161,6,4269,3,5726,4,8607,7,14148,12,12599,12,19749,17,12814,11,14189,13,5643,6,14195,12,2861,3,7185,7,8458,6,8426,8
1105,31.191818,121.538713,14224,10,9886,7,15523,11,11194,8,19148,16,18051,13,33575,26,22487,16,11011,8,15221,13,25242,18,12696,11,5362,5,9923,7,2754,2,12725,9,26633,23,16990,12,9636,7,11386,8,25869,20,21032,18,14096,11,9715,7,11167,9,14217,13,6953,5,19025,15,9992,7,19338,14,20836,17
739,31.132833,121.17281,9800,8,8128,6,9971,8,6810,5,21904,18,33966,26,8412,7,11274,10,11412,9,11101,8,22331,19,33550,26,17689,16,6954,5,6938,5,11260,8,8211,6,12591,10,16477,14,6471,8,9378,7,9788,7,8066,6,7014,7,11279,8,9450,7,13649,13,13962,14,16936,12,5413,4,11425,8
2684,31.317584,121.626266,1430,1,5722,4,5526,4,4288,3,0,0,0,0,0,0,0,0,1436,1,0,0,4099,3,0,0,0,0,0,0,0,0,2846,3,0,0,4181,3,0,0,0,0,1398,1,0,0,2568,2,2818,2,2837,2,0,0,4287,3,1380,1,4185,3,0,0,0,0
631,31.10366,121.420217,95527,74,49560,38,50984,42,70123,56,76430,57,69109,54,52867,41,74444,61,59962,47,38603,29,33129,27,73496,60,78719,62,74477,67,62685,48,27858,21,83285,63,66343,53,77948,60,74450,55,65904,53,110376,87,78795,59,91024,69,72466,54,94830,79,121583,92,124236,97,69387,52,59944,45,79499,61
2957,31.427978,121.433301,13651,13,9605,7,13756,10,3917,4,12506,11,28903,22,12605,9,16414,12,19742,18,9592,9,22463,20,53558,41,25243,19,22580,16,22600,17,19754,14,13655,11,24863,21,18333,20,66306,49,26451,20,8399,7,11299,9,28718,21,25198,20,30512,23,2787,2,13794,10,11829,9,23459,17,10911,10
2812,31.355737,121.403678,102647,82,96057,74,89011,68,119839,91,114456,90,108838,82,88673,70,96270,81,103673,76,90046,68,57881,45,111537,86,98107,74,84301,66,51271,38,43221,36,83796,60,49089,35,86905,67,99993,78,57021,43,73171,56,45260,38,62769,49,56987,43,54646,47,83096,60,59956,46,89963,69,26584,21,66056,54
334,30.992078,121.31207,4131,3,0,0,1348,1,2870,3,1427,1,0,0,1412,1,0,0,1432,1,2764,2,0,0,2856,2,0,0,2808,2,0,0,1418,1,4280,5,1430,1,0,0,4234,4,11267,8,2740,2,1420,1,0,0,1391,1,4296,3,2699,2,1430,1,1410,1,0,0,0,0
2979,31.456258,121.413525,19537,14,10851,8,29022,25,15473,11,18122,13,22637,19,22215,16,21111,16,30482,22,17967,13,43364,36,11037,8,6678,5,14695,12,13978,12,18290,14,16443,14,31039,26,15126,13,8400,7,9672,7,10764,9,20859,15,17803,17,24037,19,11321,9,22507,16,19495,17,25333,50,11259,8,5284,4
730,31.130862,121.091425,61094,48,13867,10,30778,24,20655,17,18976,16,27775,22,25414,23,34893,29,31688,27,43871,31,26493,23,44703,33,46817,37,68466,53,49670,39,55719,45,64941,48,58537,44,21111,18,13783,10,46391,36,45105,37,32340,28,42236,34,47967,44,16645,12,13967,11,65029,51,68879,54,39790,28,24729,18
761,31.139656,121.378972,12325,9,0,0,0,0,0,0,2654,2,0,0,5587,4,0,0,0,0,1429,1,0,0,0,0,1393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2877,2,0,0,1384,1,0,0
2450,31.284953,121.489071,40910,32,37846,30,33461,25,23930,17,22694,26,10014,8,19671,14,34980,29,18230,18,36929,30,28594,23,9582,10,6898,7,42659,35,22625,32,29797,25,31127,24,36875,31,23615,20,43783,33,41360,36,40868,35,42826,32,36414,29,50614,41,67024,50,54252,40,43885,33,39826,30,41984,33,32270,25
1191,31.19927,121.6228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,1,1402,1
2552,31.29856,121.495449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9265,7,0,0,0,0
2923,31.409644,121.303936,9763,7,2849,2,16845,12,8473,6,0,0,7046,5,6997,7,5465,6,5714,4,0,0,5555,5,0,0,7102,5,0,0,0,0,7104,5,2818,2,2733,2,4306,3,6621,5,1415,1,2877,2,1429,1,2868,2,4123,6,2738,2,0,0,4113,3,3932,3,0,0,1412,2
1310,31.209025,121.616514,129950,101,88642,66,68412,51,77529,58,61199,46,49757,36,98941,81,100664,78,85366,64,81375,64,68795,55,42521,32,62118,48,71766,54,60503,45,51078,43,102241,82,70305,55,62191,49,58083,50,37888,31,48215,36,35333,25,37812,31,73018,56,76452,54,53704,41,36489,28,67720,53,85283,65,50616,40
2057,31.24981,121.497427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2542,31.296656,121.483976,17912,15,13729,10,12280,9,23644,18,17870,14,2795,2,22480,17,30344,26,11262,8,12810,11,18272,13,17092,13,9990,8,20940,19,22520,20,11244,10,15778,13,18382,15,26955,21,18326,13,23588,17,29188,22,22398,17,22211,18,23896,18,18364,21,11142,8,15333,13,19548,17,6993,7,8632,9
299,30.97167,121.185692,0,0,4195,3,1428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,1,0,0,0,0,0,0,1432,1,0,0,0,0,1407,1,0,0,0,0,0,0
303,30.975316,121.349759,9895,8,22816,17,19962,15,11393,10,6975,5,11201,9,15758,14,10000,8,35809,28,22923,17,19959,17,27049,24,5753,5,25726,19,9847,8,11412,9,8546,12,19963,15,27163,20,0,0,7129,6,2866,3,2851,2,5515,4,8541,6,1420,1,0,0,1364,1,1332,1,25557,20,0,0
583,31.082701,121.448694,55869,43,44754,35,60401,45,61242,46,55945,43,73651,54,59226,45,39405,30,45526,36,39403,33,31017,22,25843,21,24866,21,16602,16,19387,17,33424,29,36125,29,35034,28,48498,41,45782,36,18147,13,50196,37,24983,21,57180,41,67433,52,31671,25,34696,28,16744,12,39361,30,25412,18,28082,23
1282,31.206458,121.562768,0,0,0,0,0,0,0,0,4022,3,0,0,0,0,0,0,0,0,0,0,2877,2,0,0,1423,1,0,0,0,0,0,0,5738,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437,2,1410,1,0,0,0,0,0,0,0,0
1688,31.232857,121.475333,55781,40,31950,24,41005,32,26577,19,9739,8,61381,46,49106,37,27874,20,38021,28,49734,35,42146,32,58808,44,74363,55,36726,28,30653,22,44740,34,22294,16,26435,19,43031,33,53318,45,35126,25,54153,42,24995,19,56801,42,51954,38,37357,30,23491,17,39402,33,42273,30,75143,56,22525,17
2158,31.256654,121.599709,0,0,1260,1,5392,4,1321,1,0,0,0,0,0,0,1260,1,1342,1,5352,4,2522,2,0,0,0,0,6676,5,2615,2,1352,1,0,0,0,0,0,0,0,0,5218,4,1261,1,1391,1,5482,4,1419,1,0,0,0,0,2791,2,1389,1,0,0,0,0
1045,31.185065,121.503655,8633,7,2810,2,1400,1,10065,9,8448,6,5683,4,1363,1,11173,8,0,1,2760,2,7056,6,7098,6,0,0,1437,1,1431,1,11150,8,4215,3,1282,1,4134,3,2726,2,4155,3,4056,4,1370,2,9934,9,4234,3,4217,3,9630,7,1418,1,4249,3,2862,2,2699,2
495,31.048845,121.231719,50339,39,44870,36,52085,42,32728,30,28083,21,61994,51,50383,49,47972,35,36666,28,44681,33,21312,15,36464,27,28196,25,25526,25,30879,24,24728,22,29409,27,22364,22,44834,38,12593,16,30681,27,12765,10,30895,34,34957,29,15585,17,33485,31,8524,8,16884,13,14968,11,18219,14,4259,4
1108,31.19206,121.438501,11304,11,47970,38,28519,22,26741,20,26924,21,9416,7,5553,4,11463,9,14251,10,10954,10,19878,14,18230,13,5532,5,12242,10,18547,13,15544,13,19309,14,19260,15,17752,13,8347,6,6935,5,11125,9,12539,10,25105,19,5646,4,29158,23,13633,11,21036,15,19016,14,8496,7,8443,6
1430,31.216528,121.439617,0,0,1404,1,1260,1,0,0,1394,1,8533,6,5727,4,1421,1,2729,2,8427,7,1261,1,4273,3,8361,6,0,0,5544,4,1382,2,6506,5,19572,16,5425,4,2844,2,0,0,5589,4,9996,8,1261,1,0,1,0,0,2841,2,9726,8,0,0,29860,22,2763,3
443,31.037985,121.752781,12318,9,8399,7,14887,11,13975,10,16683,12,9765,8,12652,9,7927,7,14020,10,5527,4,16914,14,12264,9,23841,18,34057,24,13712,10,7093,6,12361,11,12345,9,14017,11,8391,6,11021,8,16704,12,9544,7,5589,6,12638,11,12307,11,12444,9,14306,10,12814,10,12881,9,12531,10
